inchikey,name,is drug,evidence,moa,support,p 1e-5,p 1e-4,p 1e-3,top1_inchikey,top2_inchikey,top3_inchikey,top1_name,top2_name,top3_name
LWAFTNVIURUPIL-UHFFFAOYSA-N,N-(3-Nitrophenyl)-N-(Phenylsulfonyl)Glycine,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
YLLFDRHTELGUAX-XDOYNYLZSA-N,YLLFDRHTELGUAX-XDOYNYLZSA-N,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
CBSIDIQSDMPYGL-FUXBKTLASA-N,Chembl68992,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
NFGVUHXULLFBAF-UHFFFAOYSA-N,St50487752,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
XFFKMUMASJSILS-UHFFFAOYSA-N,Chembl69371,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
MZAPNXXFUXSRII-CWTRNNRKSA-N,Chembl69938,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
LXOANXZWLVCTKO-SREIQFSDSA-N,Chembl68963,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
VFTQMEMIHPBYLO-BZZOAKBMSA-N,VFTQMEMIHPBYLO-BZZOAKBMSA-N,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
UWJQVHWDHTZMOY-UHFFFAOYSA-N,Schembl9541318,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
KXJXYCGVDHCLRF-UHFFFAOYSA-N,Chembl143569,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
RQWXNNMDGLUIPK-UHFFFAOYSA-N,Bdbm50016637,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
CWHZQLLHCJTBOG-IODUZNRKSA-N,Chembl3098450,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
OCTKFTDWELPEGU-UHFFFAOYSA-N,Chembl114289,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
MDDBGPBRLJNBDZ-LLVKDONJSA-N,Chembl68635,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
VDBUHKUPHPCRSG-UHFFFAOYSA-N,Chembl1673032,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
VQIGXTICBHCZMW-UHFFFAOYSA-N,Schembl419034,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
